show_id,type,title,date_added,release_year,rating,duration_value,duration_unit
s24,Movie,"""Go! Go! Cory Carson: Chrissy Takes the Wheel""",2021-10-18,2021,TV-Y,61,min
s25,Movie,"""Jeans""",2021-10-19,1998,TV-14,166,min
s26,TV Show,"""Love on the Spectrum""",2021-10-20,2021,TV-14,2,Season
s27,Movie,"""Minsara Kanavu""",2021-10-21,1997,TV-PG,147,min
s28,Movie,"""Grown Ups""",2021-10-22,2010,PG-13,103,min
s29,Movie,"""Dark Skies""",2021-10-23,2013,PG-13,97,min
s30,Movie,"""Paranoia""",2021-10-24,2013,PG-13,106,min
s31,Movie,"""Ankahi Kahaniya""",2021-10-25,2021,TV-14,111,min
s32,TV Show,"""Chicago Party Aunt""",2021-10-26,2021,TV-MA,1,Season
s33,TV Show,"""Sex Education""",2021-10-27,2020,TV-MA,3,Season
s34,TV Show,"""Squid Game""",2021-10-28,2021,TV-MA,1,Season
s35,TV Show,"""Tayo and Little Wizards""",2021-10-29,2020,TV-Y7,1,Season
s36,Movie,"""The Father Who Moves Mountains""",2021-10-30,2021,TV-MA,110,min
s37,Movie,"""The Stronghold""",2021-10-31,2021,TV-MA,105,min
s38,TV Show,"""Angry Birds""",2021-11-01,2018,TV-Y7,1,Season
s39,Movie,"""Birth of the Dragon""",2021-11-02,2017,PG-13,96,min
s40,TV Show,"""Chhota Bheem""",2021-11-03,2021,TV-Y7,3,Season
s41,TV Show,"""He-Man and the Masters of the Universe""",2021-11-04,2021,TV-Y7,1,Season
s42,Movie,"""Jaws""",2021-11-05,1975,PG,124,min
s43,Movie,"""Jaws 2""",2021-11-06,1978,PG,116,min
s44,Movie,"""Jaws 3""",2021-11-07,1983,PG,98,min
s45,Movie,"""Jaws: The Revenge""",2021-11-08,1987,PG-13,91,min
s46,Movie,"""My Heroes Were Cowboys""",2021-11-09,2021,PG,23,min
s47,Movie,"""Safe House""",2021-11-10,2012,R,115,min
s48,TV Show,"""The Smart Money Woman""",2021-11-11,2020,TV-MA,1,Season
s49,Movie,"""Training Day""",2021-11-12,2001,R,122,min
s50,TV Show,"""Castle and Castle""",2021-11-13,2021,TV-MA,2,Season
s51,TV Show,"""Dharmakshetra""",2021-11-14,2014,TV-PG,1,Season
s52,Movie,"""InuYasha the Movie 2: The Castle Beyond the Looking Glass""",2021-11-15,2002,TV-14,99,min
s53,Movie,"""InuYasha the Movie 3: Swords of an Honorable Ruler""",2021-11-16,2003,TV-14,99,min
s54,Movie,"""InuYasha the Movie 4: Fire on the Mystic Island""",2021-11-17,2004,TV-PG,88,min
s55,Movie,"""InuYasha the Movie: Affections Touching Across Time""",2021-11-18,2001,TV-PG,100,min
s56,TV Show,"""Nailed It""",2021-11-19,2021,TV-PG,6,Season
s57,Movie,"""Naruto Shippuden the Movie: Blood Prison""",2021-11-20,2011,TV-14,102,min
s58,Movie,"""Naruto ShippÃ»den the Movie: Bonds""",2021-11-21,2008,TV-PG,93,min
s59,Movie,"""Naruto ShippÃ»den the Movie: The Will of Fire""",2021-11-22,2009,TV-PG,96,min
s60,Movie,"""Naruto Shippuden: The Movie""",2021-11-23,2007,TV-PG,95,min
s61,Movie,"""Naruto Shippuden: The Movie: The Lost Tower""",2021-11-24,2010,TV-14,85,min
s62,Movie,"""Naruto the Movie 2: Legend of the Stone of Gelel""",2021-11-25,2005,TV-PG,97,min
s63,Movie,"""Naruto the Movie 3: Guardians of the Crescent Moon Kingdom""",2021-11-26,2006,TV-PG,95,min
s64,Movie,"""Naruto the Movie: Ninja Clash in the Land of Snow""",2021-11-27,2004,TV-PG,83,min
s65,Movie,"""Nightbooks""",2021-11-28,2021,TV-PG,103,min
s66,TV Show,"""Numberblocks""",2021-11-29,2021,TV-Y,6,Season
s67,TV Show,"""Raja Rasoi Aur Anya Kahaniyan""",2021-11-30,2014,TV-G,1,Season
s68,TV Show,"""Saved by the Bell""",2021-12-01,1994,TV-PG,9,Season
s69,Movie,"""Schumacher""",2021-12-02,2021,TV-14,113,min
s70,TV Show,"""Stories by Rabindranath Tagore""",2021-12-03,2015,TV-PG,1,Season
s71,TV Show,"""Too Hot To Handle: Latino""",2021-12-04,2021,TV-MA,1,Season
s72,Movie,"""A StoryBots Space Adventure""",2021-12-05,2021,TV-Y,13,min
s73,TV Show,"""Jack Whitehall: Travels with My Father""",2021-12-06,2021,TV-MA,5,Season
s74,Movie,"""King of Boys""",2021-12-07,2018,TV-MA,182,min
s75,TV Show,"""The World's Most Amazing Vacation Rentals""",2021-12-08,2021,TV-PG,2,Season
s76,Movie,"""You vs. Wild: Out Cold""",2021-12-09,2021,TV-G,106,min
s77,TV Show,"""Yowamushi Pedal""",2021-12-10,2013,TV-14,1,Season
s78,Movie,"""Little Singham - Black Shadow""",2021-12-11,2021,TV-Y7,48,min
s79,Movie,"""Tughlaq Durbar""",2021-12-12,2020,TV-14,145,min
s80,Movie,"""Tughlaq Durbar (Telugu)""",2021-12-13,2021,TV-14,145,min
s81,Movie,"""Firedrake the Silver Dragon""",2021-12-14,2021,TV-Y7,93,min
s82,Movie,"""Kate""",2021-12-15,2021,R,106,min
s83,TV Show,"""Lucifer""",2021-12-16,2021,TV-14,6,Season
s84,TV Show,"""Metal Shop Masters""",2021-12-17,2021,TV-MA,1,Season
s85,Movie,"""Omo Ghetto: the Saga""",2021-12-18,2020,TV-MA,147,min
s86,TV Show,"""PokÃ©mon Master Journeys: The Series""",2021-12-19,2021,TV-Y7,1,Season
s87,Movie,"""Prey""",2021-12-20,2021,TV-MA,87,min
s88,TV Show,"""Titipo Titipo""",2021-12-21,2019,TV-Y,2,Season
s89,Movie,"""Blood Brothers: Malcolm X & Muhammad Ali""",2021-12-22,2021,PG-13,96,min
s90,TV Show,"""Mighty Raju""",2021-12-23,2017,TV-Y7,4,Season
s91,Movie,"""Paradise Hills""",2021-12-24,2019,TV-MA,95,min
s92,Movie,"""The Women and the Murderer""",2021-12-25,2021,TV-14,92,min
s93,TV Show,"""Into the Night""",2021-12-26,2021,TV-MA,2,Season
s94,Movie,"""JJ+E""",2021-12-27,2021,TV-MA,91,min
s95,Movie,"""Show Dogs""",2021-12-28,2018,PG,90,min
s96,TV Show,"""The Circle""",2021-12-29,2021,TV-MA,3,Season
s97,Movie,"""If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd""",2021-12-30,2018,TV-MA,97,min
s98,TV Show,"""Kid Cosmic""",2021-12-31,2021,TV-Y7,2,Season
s99,TV Show,"""Octonauts: Above & Beyond""",2022-01-01,2021,TV-Y,1,Season
s100,TV Show,"""On the Verge""",2022-01-02,2021,TV-MA,1,Season
s101,TV Show,"""Tobot Galaxy Detectives""",2022-01-03,2019,TV-Y7,2,Season
s102,Movie,"""Untold: Breaking Point""",2022-01-04,2021,TV-MA,80,min
s103,TV Show,"""Countdown: Inspiration4 Mission to Space""",2022-01-05,2021,TV-14,1,Season
s104,Movie,"""Shadow Parties""",2022-01-06,2020,TV-MA,117,min
s105,TV Show,"""Tayo the Little Bus""",2022-01-07,2016,TV-Y,2,Season
s106,Movie,"""Angamaly Diaries""",2022-01-08,2017,TV-14,128,min
s107,TV Show,"""Bunk'd""",2022-01-09,2021,TV-G,5,Season
s108,Movie,"""A Champion Heart""",2022-01-10,2018,G,90,min
s109,TV Show,"""Dive Club""",2022-01-11,2021,TV-G,1,Season
s110,TV Show,"""La casa de papel""",2022-01-12,2021,TV-MA,5,Season
s111,TV Show,"""Money Heist: From Tokyo to Berlin""",2022-01-13,2021,TV-MA,1,Season
s112,TV Show,"""Sharkdog""",2022-01-14,2021,TV-Y,1,Season
s113,Movie,"""Worth""",2022-01-15,2021,PG-13,119,min
s114,Movie,"""Afterlife of the Party""",2022-01-16,2021,TV-PG,110,min
s115,Movie,"""Anjaam""",2022-01-17,1994,TV-14,143,min
s116,Movie,"""Bright Star""",2022-01-18,2009,PG,119,min
s117,Movie,"""Dhanak""",2022-01-19,2015,TV-PG,114,min
s118,Movie,"""Final Account""",2022-01-20,2021,PG-13,94,min
s119,Movie,"""Gurgaon""",2022-01-21,2017,TV-14,106,min
s120,Movie,"""Here and There""",2022-01-22,2020,TV-MA,99,min
s121,TV Show,"""Heroes of Goo Jit Zu""",2022-01-23,2021,TV-Y7,1,Season
s122,TV Show,"""Hotel Del Luna""",2022-01-24,2019,TV-14,1,Season
s123,Movie,"""In the Cut""",2022-01-25,2003,R,118,min
s124,TV Show,"""Luv Kushh""",2022-01-26,2012,TV-Y7,1,Season
s125,TV Show,"""Pororo - The Little Penguin""",2022-01-27,2013,TV-Y7,3,Season
s126,TV Show,"""Q-Force""",2022-01-28,2021,TV-MA,1,Season
s127,Movie,"""Shikara""",2022-01-29,2020,TV-14,115,min
s128,Movie,"""A Cinderella Story""",2022-01-30,2004,PG,95,min
s129,Movie,"""Agatha Christie's Crooked House""",2022-01-31,2017,PG-13,115,min
s130,Movie,"""An Unfinished Life""",2022-02-01,2005,PG-13,108,min
s131,Movie,"""Barbie Big City Big Dreams""",2022-02-02,2021,TV-Y,63,min
s132,Movie,"""Blade Runner: The Final Cut""",2022-02-03,1982,R,117,min
s133,TV Show,"""Brave Animated Series""",2022-02-04,2021,TV-MA,1,Season
s134,Movie,"""Chappie""",2022-02-05,2015,R,121,min
s135,Movie,"""Clear and Present Danger""",2022-02-06,1994,PG-13,142,min
s136,Movie,"""Cliffhanger""",2022-02-07,1993,R,113,min
s137,Movie,"""Cold Mountain""",2022-02-08,2003,R,154,min
s138,Movie,"""Crocodile Dundee in Los Angeles""",2022-02-09,2001,PG,95,min
s139,Movie,"""Dear John""",2022-02-10,2010,PG-13,108,min
s140,Movie,"""Do the Right Thing""",2022-02-11,1989,R,120,min
s141,Movie,"""El patrÃ³n, radiografÃ­a de un crimen""",2022-02-12,2014,TV-MA,100,min
s142,Movie,"""Extraction""",2022-02-13,2015,R,82,min
s143,Movie,"""Freedom Writers""",2022-02-14,2007,PG-13,124,min
s144,Movie,"""Green Lantern""",2022-02-15,2011,PG-13,114,min
s145,Movie,"""House Party""",2022-02-16,1990,R,104,min
s146,Movie,"""House Party 2""",2022-02-17,1991,R,94,min
s147,Movie,"""House Party 3""",2022-02-18,1994,R,94,min
s148,TV Show,"""How to Be a Cowboy""",2022-02-19,2021,TV-PG,1,Season
s149,TV Show,"""HQ Barbers""",2022-02-20,2020,TV-14,1,Season
s150,Movie,"""I Got the Hook Up""",2022-02-21,1998,R,93,min
s151,Movie,"""In Too Deep""",2022-02-22,1999,R,97,min
s152,Movie,"""Initial D""",2022-02-23,2005,TV-14,109,min
s153,Movie,"""Janoskians: Untold and Untrue""",2022-02-24,2016,TV-MA,88,min
s154,TV Show,"""Kid-E-Cats""",2022-02-25,2016,TV-Y,2,Season
s155,TV Show,"""Kuroko's Basketball""",2022-02-26,2015,TV-MA,3,Season
s156,Movie,"""Labyrinth""",2022-02-27,1986,PG,101,min
s157,Movie,"""Letters to Juliet""",2022-02-28,2010,PG,105,min
s158,Movie,"""Level 16""",2022-03-01,2018,TV-14,102,min
s159,Movie,"""Love Don't Cost a Thing""",2022-03-02,2003,PG-13,101,min
s160,Movie,"""Love in a Puff""",2022-03-03,2010,TV-MA,103,min
s161,TV Show,"""Major Dad""",2022-03-04,1992,TV-PG,4,Season
s162,Movie,"""Mars Attacks!""",2022-03-05,1996,PG-13,106,min
s163,Movie,"""Marshall""",2022-03-06,2017,PG-13,118,min
s164,Movie,"""My Boss's Daughter""",2022-03-07,2003,R,86,min
s165,Movie,"""Mystery Men""",2022-03-08,1999,PG-13,121,min
s166,TV Show,"""Oldsters""",2022-03-09,2019,TV-MA,1,Season
s167,Movie,"""Once Upon a Time in America""",2022-03-10,1984,R,229,min
s168,Movie,"""Open Season 2""",2022-03-11,2008,PG,76,min
s169,Movie,"""Osmosis Jones""",2022-03-12,2001,PG,95,min
s170,Movie,"""Poseidon""",2022-03-13,2006,PG-13,98,min
s171,Movie,"""Rhyme & Reason""",2022-03-14,1997,R,89,min
s172,Movie,"""Same Kind of Different as Me""",2022-03-15,2017,PG-13,120,min
s173,Movie,"""School of Rock""",2022-03-16,2003,PG-13,110,min
s174,Movie,"""Snervous Tyler Oakley""",2022-03-17,2015,PG-13,83,min
s175,Movie,"""Tears of the Sun""",2022-03-18,2003,R,121,min
s176,Movie,"""The Blue Lagoon""",2022-03-19,1980,R,105,min
s177,Movie,"""The Golden Child""",2022-03-20,1986,PG-13,94,min
s178,Movie,"""The Guns of Navarone""",2022-03-21,1961,TV-14,156,min
s179,Movie,"""The Interview""",2022-03-22,2014,R,112,min
s180,Movie,"""The Nutty Professor""",2022-03-23,1996,PG-13,95,min
s181,Movie,"""The Nutty Professor II: The Klumps""",2022-03-24,2000,PG-13,107,min
s182,TV Show,"""Turning Point: 9/11 and the War on Terror""",2022-03-25,2021,TV-14,1,Season
s183,Movie,"""Welcome Home Roscoe Jenkins""",2022-03-26,2008,PG-13,114,min
s184,Movie,"""In the Line of Fire""",2022-03-27,1993,R,129,min
s185,TV Show,"""Sparking Joy""",2022-03-28,2021,TV-PG,1,Season
s186,Movie,"""Untold: Crime & Penalties""",2022-03-29,2021,TV-MA,86,min
s187,TV Show,"""Hometown Cha-Cha-Cha""",2022-03-30,2021,TV-14,1,Season
s188,TV Show,"""The Ingenuity of the Househusband""",2022-03-31,2021,TV-G,1,Season
s189,Movie,"""2 Alone in Paris""",2022-04-01,2008,TV-MA,97,min
s190,TV Show,"""Bread Barbershop""",2022-04-02,2020,TV-Y,2,Season
s191,Movie,"""Thimmarusu""",2022-04-03,2021,TV-14,125,min
s192,Movie,"""Wind River""",2022-04-04,2017,R,107,min
s193,Movie,"""C Kkompany""",2022-04-05,2008,TV-14,127,min
s194,TV Show,"""D.P.""",2022-04-06,2021,TV-MA,1,Season
s195,TV Show,"""Deadly Sins""",2022-04-07,2002,TV-MA,1,Season
s196,Movie,"""EMI: Liya Hai To Chukana Padega""",2022-04-08,2008,TV-14,128,min
s197,Movie,"""He's All That""",2022-04-09,2021,TV-14,92,min
s198,TV Show,"""I Heart Arlo""",2022-04-10,2021,TV-Y7,1,Season
s199,TV Show,"""King of Boys: The Return of the King""",2022-04-11,2021,TV-MA,1,Season
s200,Movie,"""Koi Aap Sa""",2022-04-12,2006,TV-14,135,min
s201,Movie,"""Krishna Cottage""",2022-04-13,2004,TV-14,124,min
s202,Movie,"""Kucch To Hai""",2022-04-14,2003,TV-14,136,min
s203,Movie,"""Kyaa Kool Hai Hum""",2022-04-15,2005,TV-MA,165,min
s204,Movie,"""Kyaa Kool Hain Hum 3""",2022-04-16,2016,TV-MA,124,min
s205,Movie,"""Kyaa Super Kool Hain Hum""",2022-04-17,2012,TV-MA,136,min
s206,Movie,"""Kyo Kii... Main Jhuth Nahin Bolta""",2022-04-18,2001,TV-14,150,min
s207,Movie,"""LSD: Love, Sex Aur Dhokha""",2022-04-19,2010,TV-MA,112,min
s208,Movie,"""Mission Istaanbul: Darr Ke Aagey Jeet Hai""",2022-04-20,2008,TV-14,119,min
s209,Movie,"""Once Upon a Time in Mumbaai""",2022-04-21,2010,TV-14,133,min
s210,Movie,"""Once Upon a Time in Mumbai Dobaara!""",2022-04-22,2013,TV-14,142,min
s211,Movie,"""Ragini MMS""",2022-04-23,2011,TV-MA,93,min
s212,Movie,"""Ragini MMS 2""",2022-04-24,2014,TV-MA,113,min
s213,TV Show,"""Rebellion""",2022-04-25,2016,TV-MA,2,Season
s214,TV Show,"""RIDE ON TIME""",2022-04-26,2021,TV-PG,3,Season
s215,Movie,"""SAS: Rise of the Black Swan""",2022-04-27,2021,R,124,min
s216,Movie,"""Shootout at Lokhandwala""",2022-04-28,2007,TV-MA,116,min
s217,Movie,"""Shor In the City""",2022-04-29,2011,TV-14,106,min
s218,Movie,"""The Dirty Picture""",2022-04-30,2011,TV-14,145,min
s219,TV Show,"""Titletown High""",2022-05-01,2021,TV-14,1,Season
s220,TV Show,"""EDENS ZERO""",2022-05-02,2021,TV-14,1,Season
s221,TV Show,"""Family Reunion""",2022-05-03,2021,TV-PG,4,Season
s222,Movie,"""Bob Ross: Happy Accidents, Betrayal & Greed""",2022-05-04,2021,TV-14,93,min
s223,TV Show,"""Clickbait""",2022-05-05,2021,TV-MA,1,Season
s224,TV Show,"""John of God: The Crimes of a Spiritual Healer""",2022-05-06,2021,TV-MA,1,Season
s225,TV Show,"""Motel Makeover""",2022-05-07,2021,TV-14,1,Season
s226,TV Show,"""Open Your Eyes""",2022-05-08,2021,TV-MA,1,Season
s227,TV Show,"""Post Mortem: No One Dies in Skarnes""",2022-05-09,2021,TV-MA,1,Season
s228,Movie,"""Really Love""",2022-05-10,2020,TV-MA,95,min
s229,Movie,"""The November Man""",2022-05-11,2014,R,108,min
s230,Movie,"""The Old Ways""",2022-05-12,2020,TV-MA,90,min
s231,Movie,"""The River Runner""",2022-05-13,2021,TV-MA,86,min
s232,Movie,"""The Water Man""",2022-05-14,2021,PG,92,min
s233,TV Show,"""Wheel of Fortune""",2022-05-15,2019,TV-G,3,Season
s234,Movie,"""Count Me In""",2022-05-16,2021,TV-MA,82,min
s235,TV Show,"""Oggy Oggy""",2022-05-17,2021,TV-Y,1,Season
s236,Movie,"""Untold: Caitlyn Jenner""",2022-05-18,2021,TV-PG,70,min
s237,Movie,"""Boomika""",2022-05-19,2021,TV-14,122,min
s238,Movie,"""Boomika (Hindi)""",2022-05-20,2021,TV-14,122,min
s239,Movie,"""Boomika (Malayalam)""",2022-05-21,2021,TV-14,122,min
s240,Movie,"""Boomika (Telugu)""",2022-05-22,2021,TV-14,122,min
s241,Movie,"""The Witcher: Nightmare of the Wolf""",2022-05-23,2021,TV-MA,84,min
s242,TV Show,"""Manifest""",2022-05-24,2021,TV-14,3,Season
s243,TV Show,"""Comedy Premium League""",2022-05-25,2021,TV-MA,1,Season
s244,TV Show,"""Everything Will Be Fine""",2022-05-26,2021,TV-MA,1,Season
s245,Movie,"""Gunshot""",2022-05-27,2018,TV-14,96,min
s246,TV Show,"""Korean Cold Noodle Rhapsody""",2022-05-28,2021,TV-PG,1,Season
s247,Movie,"""Man in Love""",2022-05-29,2021,TV-MA,115,min
s248,Movie,"""Sweet Girl""",2022-05-30,2021,R,110,min
s249,TV Show,"""The Chair""",2022-05-31,2021,TV-MA,1,Season
s250,Movie,"""The Loud House Movie""",2022-06-01,2021,TV-Y7,88,min
s251,Movie,"""A Faraway Land""",2022-06-02,2020,TV-PG,102,min
s252,Movie,"""Like Crazy""",2022-06-03,2011,PG-13,91,min
s253,Movie,"""Black Island""",2022-06-04,2021,TV-MA,105,min
s254,Movie,"""Bombay""",2022-06-05,1995,TV-14,135,min
s255,TV Show,"""Go! Go! Cory Carson""",2022-06-06,2021,TV-Y,5,Season
s256,Movie,"""Memories of a Murderer: The Nilsen Tapes""",2022-06-07,2021,TV-MA,86,min
s257,Movie,"""Nneka The Pretty Serpent""",2022-06-08,2020,TV-14,140,min
s258,Movie,"""O Kadhal Kanmani""",2022-06-09,2015,TV-14,133,min
s259,Movie,"""Out of my league""",2022-06-10,2020,TV-MA,92,min
s260,Movie,"""Pahuna""",2022-06-11,2018,TV-PG,82,min
s261,TV Show,"""The Defeated""",2022-06-12,2020,TV-MA,1,Season
s262,Movie,"""The Secret Diary of an Exchange Student""",2022-06-13,2021,TV-14,97,min
s263,Movie,"""Untold: Deal With the Devil""",2022-06-14,2021,TV-MA,78,min
s264,TV Show,"""Mother Goose Club""",2022-06-15,2016,TV-Y,2,Season
s265,Movie,"""Walk of Shame""",2022-06-16,2014,R,94,min
s266,TV Show,"""Rascal Does Not Dream of Bunny Girl Senpai""",2022-06-17,2018,TV-14,1,Season
s267,TV Show,"""The Creative Indians""",2022-06-18,2020,TV-MA,1,Season
s268,Movie,"""The Piano""",2022-06-19,1993,R,121,min
s269,Movie,"""Unroyal""",2022-06-20,2020,TV-MA,97,min
s270,TV Show,"""Winx Club""",2022-06-21,2015,TV-Y7,2,Season
s271,Movie,"""Beckett""",2022-06-22,2021,TV-MA,110,min
s272,TV Show,"""Brand New Cherry Flavor""",2022-06-23,2021,TV-MA,1,Season
s273,TV Show,"""Fast & Furious Spy Racers""",2022-06-24,2021,TV-Y7,5,Season
s274,TV Show,"""Gone for Good""",2022-06-25,2021,TV-MA,1,Season
s275,TV Show,"""Grace and Frankie""",2022-06-26,2021,TV-MA,7,Season
s276,TV Show,"""The Kingdom""",2022-06-27,2021,TV-MA,1,Season
s277,TV Show,"""Valeria""",2022-06-28,2021,TV-MA,2,Season
s278,TV Show,"""AlRawabi School for Girls""",2022-06-29,2021,TV-14,1,Season
s279,Movie,"""Lokillo: Nothing's the Same""",2022-06-30,2021,TV-MA,64,min
s280,Movie,"""Monster Hunter: Legends of the Guild""",2022-07-01,2021,TV-PG,59,min
s281,TV Show,"""Bake Squad""",2022-07-02,2021,TV-PG,1,Season
s282,Movie,"""Brother Jekwu""",2022-07-03,2016,TV-14,101,min
s283,Movie,"""La diosa del asfalto""",2022-07-04,2020,TV-MA,127,min
s284,Movie,"""Misha and the Wolves""",2022-07-05,2021,PG-13,90,min
s285,Movie,"""The Kissing Booth 3""",2022-07-06,2021,TV-14,114,min
s286,Movie,"""The Railway Man""",2022-07-07,2013,R,108,min
s287,TV Show,"""Gabby's Dollhouse""",2022-07-08,2021,TV-Y,2,Season
s288,TV Show,"""I Need Romance""",2022-07-09,2021,TV-14,1,Season
s289,TV Show,"""Las muÃ±ecas de la mafia""",2022-07-10,2018,TV-MA,1,Season
s290,TV Show,"""The Crowned Clown""",2022-07-11,2019,TV-14,1,Season
s291,Movie,"""Untold: Malice at the Palace""",2022-07-12,2021,TV-MA,70,min
s292,TV Show,"""SHAMAN KING""",2022-07-13,2021,TV-14,1,Season
s293,Movie,"""Quartet""",2022-07-14,2012,PG-13,98,min
s294,Movie,"""Slay""",2022-07-15,2021,TV-MA,86,min
s295,Movie,"""Takizawa Kabuki ZERO 2020 The Movie""",2022-07-16,2020,TV-PG,139,min
s296,Movie,"""The Paper Tigers""",2022-07-17,2021,PG-13,111,min
s297,TV Show,"""Hit & Run""",2022-07-18,2021,TV-MA,1,Season
s298,TV Show,"""Navarasa""",2022-07-19,2021,TV-MA,1,Season
s299,Movie,"""Quam's Money""",2022-07-20,2020,TV-MA,115,min
s300,Movie,"""The Swarm""",2022-07-21,2021,TV-14,102,min
s301,Movie,"""Vivo""",2022-07-22,2021,PG,100,min
s302,Movie,"""Chennai Express""",2022-07-23,2013,TV-14,135,min
s303,Movie,"""City of God: 10 Years Later""",2022-07-24,2013,TV-MA,69,min
s304,Movie,"""Esperando la carroza""",2022-07-25,1985,TV-MA,95,min
s305,Movie,"""Lady Boss: The Jackie Collins Story""",2022-07-26,2021,TV-14,97,min
s306,Movie,"""Tango Feroz""",2022-07-27,1993,TV-MA,124,min
s307,Movie,"""'76""",2022-07-28,2016,TV-PG,118,min
s308,Movie,"""Aftermath""",2022-07-29,2021,TV-MA,115,min
s309,Movie,"""American Masters: Inventing David Geffen""",2022-07-30,2012,TV-MA,115,min
s310,TV Show,"""Car Masters: Rust to Riches""",2022-07-31,2021,TV-PG,3,Season
s311,TV Show,"""Cocaine Cowboys: The Kings of Miami""",2022-08-01,2021,TV-MA,1,Season
s312,TV Show,"""Control Z""",2022-08-02,2021,TV-MA,2,Season
s313,TV Show,"""Cooking With Paris""",2022-08-03,2021,TV-MA,1,Season
s314,TV Show,"""Autumn's Concerto""",2022-08-04,2009,TV-14,1,Season
s315,Movie,"""Heavy""",2022-08-05,1995,R,104,min
s316,Movie,"""Ije: The Journey""",2022-08-06,2010,TV-MA,106,min
s317,TV Show,"""Office Girls""",2022-08-07,2011,TV-14,1,Season
s318,Movie,"""Pray Away""",2022-08-08,2021,PG-13,102,min
s319,Movie,"""Shiny_Flakes: The Teenage Drug Lord""",2022-08-09,2021,TV-MA,97,min
s320,TV Show,"""The Prince Who Turns into a Frog""",2022-08-10,2005,TV-14,1,Season
s321,TV Show,"""Top Secret UFO Projects: Declassified""",2022-08-11,2021,TV-PG,1,Season
s322,TV Show,"""Two Fathers""",2022-08-12,2013,TV-14,1,Season
s323,TV Show,"""You're My Destiny""",2022-08-13,2008,TV-MA,1,Season
s324,TV Show,"""30 Rock""",2022-08-14,2012,TV-14,7,Season
s325,TV Show,"""44 Cats""",2022-08-15,2020,TV-Y7,3,Season
s326,Movie,"""Beethoven""",2022-08-16,1992,PG,87,min
s327,Movie,"""Beethoven's 2nd""",2022-08-17,1993,PG,88,min
s328,Movie,"""Beowulf""",2022-08-18,2007,PG-13,114,min
s329,Movie,"""Boyka: Undisputed""",2022-08-19,2016,R,90,min
s330,Movie,"""Catch Me If You Can""",2022-08-20,2002,PG-13,142,min
s331,Movie,"""Cloudy with a Chance of Meatballs""",2022-08-21,2009,PG,90,min
s332,TV Show,"""Darwinâ€™s Game""",2022-08-22,2020,TV-MA,1,Season
s333,Movie,"""Deep Blue Sea""",2022-08-23,1999,R,105,min
s334,Movie,"""Ferris Bueller's Day Off""",2022-08-24,1986,PG-13,103,min
s335,Movie,"""Five Feet Apart""",2022-08-25,2019,PG-13,116,min
s336,Movie,"""Freedomland""",2022-08-26,2006,R,113,min
s337,TV Show,"""Friday Night Lights""",2022-08-27,2010,TV-14,5,Season
s338,Movie,"""Good Luck Chuck""",2022-08-28,2007,R,99,min
s339,TV Show,"""Hunter X Hunter (2011)""",2022-08-29,2014,TV-14,6,Season
s340,Movie,"""I missed you: Director's Cut""",2022-08-30,2021,TV-14,96,min
s341,Movie,"""Inception""",2022-08-31,2010,PG-13,148,min
s342,Movie,"""Magnolia""",2022-09-01,1999,R,189,min
s343,Movie,"""Major Payne""",2022-09-02,1995,PG-13,97,min
s344,Movie,"""My Girl""",2022-09-03,1991,PG-13,102,min
s345,Movie,"""My Girl 2""",2022-09-04,1994,PG,99,min
